filename,domain,cluster_id
mcdonalds_md.png,mcdonalds.md,113
meggle-bakery_com.png,meggle-bakery.com,114
menicon_de.ico,menicon.de,115
menschenfuermenschen_at.png,menschenfuermenschen.at,116
mercyships_dk.png,mercyships.dk,117
metlife_co_kr.ico,metlife.co.kr,118
misterwhat_nl.png,misterwhat.nl,119
mitsubishi-motors_com_om.svg,mitsubishi-motors.com.om,120
mitsubishielectric_cz.png,mitsubishielectric.cz,121
modshair-bielefeld_de.png,modshair-bielefeld.de,122
rsmpoland_pl.ico,rsmpoland.pl,122
rsmthailand_com.png,rsmthailand.com,122
moog_co_uk.ico,moog.co.uk,123
murrelektronik_be.png,murrelektronik.be,124
myron_ca.png,myron.ca,125
narscosmetics_es.ico,narscosmetics.es,126
nestle_bg.ico,nestle.bg,127
nobleprog_co_th.png,nobleprog.co.th,128
noiseassessments_org.png,noiseassessments.org,129
nutriciababy_be.ico,nutriciababy.be,130
nutricia_nl.ico,nutricia.nl,131
oil-testing_de.png,oil-testing.de,132
orange_sn.ico,orange.sn,133
pefc_fi.ico,pefc.fi,134
peugeot_sk.ico,peugeot.sk,135
pirtek_be.png,pirtek.be,136
pkf_co_in.png,pkf.co.in,137
plameco-hannover_de.png,plameco-hannover.de,138
propertyfinder_com.ico,propertyfinder.com,139
rationalstock_es.png,rationalstock.es,140
reedglobal_hu.png,reedglobal.hu,141
renaultsanzhispano_es.png,renaultsanzhispano.es,142
renaulttersa_com_mx.png,renaulttersa.com.mx,142
repsol_in_ua.png,repsol.in.ua,143
rheine_schule.jpg,rheine.schule,144
rotary-bulgaria_org.png,rotary-bulgaria.org,145
rotaryclubofessex_com.png,rotaryclubofessex.com,145
rubiomonocoat_com_au.png,rubiomonocoat.com.au,146
rutscherlebnis_at.png,rutscherlebnis.at,147
santillana_com_hn.webp,santillana.com.hn,148
savethechildren_ca.png,savethechildren.ca,149
savethechildren_it.ico,savethechildren.it,150
savethechildren_mx.png,savethechildren.mx,151
scte-prod_herokuapp_com.png,scte-prod.herokuapp.com,152
vitalimages_com.ico,vitalimages.com,152
seasonsrehab_in.png,seasonsrehab.in,153
secureparkinghi_com.png,secureparkinghi.com,154
secureparking_co_id.png,secureparking.co.id,155
servier_com_ar.png,servier.com.ar,156
shimadzu-la_com.svg,shimadzu-la.com,157
sitechnorthwest_com.png,sitechnorthwest.com,158
spie_lu.png,spie.lu,159
spitex-oberfreiamt_ch.ico,spitex-oberfreiamt.ch,160
spitexaadorf_ch.ico,spitexaadorf.ch,160
srpb2b_com.png,srpb2b.com,161
stanbicbank_co_bw.ico,stanbicbank.co.bw,162
starbucks_co_nz.ico,starbucks.co.nz,163
statkraft_ie.png,statkraft.ie,164
sto_hr.ico,sto.hr,165
strabag-pfs_com.png,strabag-pfs.com,166
subaru-bd_com.jpg,subaru-bd.com,167
svnefird_com.png,svnefird.com,168
svntrinity_com.png,svntrinity.com,169
synlab_com_gh.ico,synlab.com.gh,170
tbwa_co_za.png,tbwa.co.za,171
thebodyshop_si.png,thebodyshop.si,172
toupret_ch.ico,toupret.ch,173
toyota-bauer_at.png,toyota-bauer.at,174
toyotaaktoy_com_tr.png,toyotaaktoy.com.tr,175
toyotabacau_ro.png,toyotabacau.ro,175
toysrus_com_my.png,toysrus.com.my,176
toysrus_fr.png,toysrus.fr,177
tupperware_co_kr.png,tupperware.co.kr,178
unicharm_com_br.png,unicharm.com.br,179
urmet_com_br.png,urmet.com.br,180
vbh_be.png,vbh.be,181
veka_pt.png,veka.pt,182
viacon_no.png,viacon.no,183
vkf-renzel_com_tr.png,vkf-renzel.com.tr,184
webster_nl.png,webster.nl,185
