filename,domain,dct_bands,phash
aamco-councilbluffs_com.png,aamco-councilbluffs.com,[7.19321668e-02 1.87790897e-02 3.83059353e-01 1.01578307e+00
 5.89282036e-01 6.93217218e-01 1.95803380e+00 2.13893168e-02
 3.43358964e-01 7.76712298e-02 1.22401690e+00 1.57338977e+00
 1.14955139e+00 7.87334204e-01 1.40829062e+00 1.69019317e-04
 1.05716753e+00 2.51556218e-01 2.00655484e+00 4.06094968e-01
 2.71889639e+00 2.77500480e-01 2.58978915e+00 2.36690994e-02
 6.48427665e-01 1.10000126e-01 5.28224528e-01 5.71404770e-02
 7.99336910e-01 4.26460361e+00 3.02426076e+00 2.92406291e-01
 2.03289047e-01 4.02428061e-01 2.50897229e-01 2.07058430e+00
 1.03675738e-01 2.91862756e-01 6.48519218e-01 6.44389331e-01
 4.57861722e-01 7.23143667e-02 1.98538578e+00 1.09549010e+00
 2.05993384e-01 7.17456877e-01 1.25344530e-01 5.86771846e-01
 1.94007188e-01 1.81975156e-01 1.91865742e-01 2.91912816e-02
 5.55002056e-02 7.73831606e-01 1.72355914e+00 1.45876229e-01
 0.00000000e+00 1.06942463e+00 6.98281527e-01 2.07473898e+00
 7.14484900e-02 1.81904817e+00 1.40686497e-01 1.73970655e-01
 7.91023791e-01 2.11549211e+00 4.69754189e-01 2.07527429e-02
 2.98177481e-01 1.25984943e+00 1.62512863e+00 2.14044049e-01
 2.96830475e-01 2.77047902e-01 1.03077686e+00 1.83553255e+00
 1.69328228e-02 1.28543556e+00 3.95042729e+00 1.36922523e-01
 3.83887231e-01 4.97011840e-01 8.93673360e-01 1.32901001e+00
 8.41369689e-01 1.42824543e+00 1.50610030e+00 2.77888298e-01
 2.91722506e-01 1.45422304e+00 4.12195176e-01 1.47682893e+00
 2.71025157e+00 1.72078872e+00 0.00000000e+00 1.17442310e-01
 5.98798454e-01 1.84804022e+00 5.09559453e-01 8.39786053e-01
 2.08870149e+00 6.65877461e-02 1.48746759e-01 5.44788659e-01
 1.48767203e-01 3.15928012e-02 5.61346233e-01 1.07039833e+00
 7.26967871e-01 1.10199988e+00 7.17444360e-01 1.43110603e-01
 2.15074286e-01 7.58796930e-01 9.15238783e-02 7.93405920e-02
 1.93375602e-01 3.73108715e-01 7.35994354e-02 3.40446900e-03
 3.10079038e-01 1.03720820e+00 1.41618097e+00 7.53539026e-01
 7.98632145e-01 4.05999482e-01 2.43375838e-01 1.42770684e+00
 2.27420998e+00 4.38337810e-02 1.19702362e-01 6.55249834e-01
 2.33910489e+00 4.93779802e+00 1.36338577e-01 3.17870885e-01
